query_id,query,rank,source_id,native_bm25,normalized_bm25,semantic,pretrust_hybrid,trust,metadata_bonus,calculated_final,observed_final,residual,source_type,status,cited
N01,My laptop battery is swelling after charging.,1,SYN-0010,3.939302671532119,1.0,0.301673731349585,0.6159205522422717,0.85,0.08,0.6035324694059309,0.6035324694059309,0.0,resolved_ticket,resolved,False
N01,My laptop battery is swelling after charging.,2,SYN-0008,3.2517448017285755,0.8254620355089063,0.21642511300909245,0.4904917281340087,0.85,0.08,0.4969179689139074,0.4969179689139074,0.0,resolved_ticket,resolved,False
N01,My laptop battery is swelling after charging.,3,SYN-0138,2.5617999071772237,0.6503181199277737,0.18688591368730748,0.3954304064955173,0.85,0.08,0.41611584552118974,0.41611584552118974,0.0,resolved_ticket,resolved,False
N01,My laptop battery is swelling after charging.,4,SYN-0030,2.272929808562455,0.5769878575180518,0.22946955699567834,0.3858527922307464,0.85,0.08,0.4079748733961345,0.4079748733961345,0.0,resolved_ticket,resolved,False
N01,My laptop battery is swelling after charging.,5,SYN-0044,1.7770621712267909,0.45111084864561457,0.15747192406660132,0.2896094401271573,0.85,0.08,0.3261680241080837,0.3261680241080837,0.0,resolved_ticket,resolved,False
N02,The laptop casing is cracked.,1,SYN-0038,5.136882122130303,1.0,0.1456388184644528,0.530101350155449,0.85,0.08,0.5305861476321316,0.5305861476321316,0.0,resolved_ticket,resolved,False
N02,The laptop casing is cracked.,2,SYN-0030,2.272929808562455,0.44247264284504434,0.27629121621975694,0.3510728582011363,0.85,0.08,0.37841192947096586,0.37841192947096586,0.0,resolved_ticket,resolved,False
N02,The laptop casing is cracked.,3,SYN-0138,2.5617999071772237,0.49870716249078073,0.1673815395855638,0.31647806989291144,0.85,0.08,0.34900635940897473,0.34900635940897473,0.0,resolved_ticket,resolved,False
N02,The laptop casing is cracked.,4,SYN-0010,2.2297537848450655,0.43406753977067514,0.21390776913408488,0.3129796659205505,0.85,0.08,0.34603271603246794,0.34603271603246794,0.0,resolved_ticket,resolved,False
N02,The laptop casing is cracked.,5,SYN-0012,1.5027098030237314,0.2925334409660439,0.2514663086456401,0.26994651818982185,0.85,0.08,0.30945454046134857,0.30945454046134857,0.0,resolved_ticket,resolved,False
N03,My laptop screen has a dark patch.,1,SYN-0005,4.844145219077224,1.0,0.32985522503309095,0.6314203737682,0.85,0.26,0.79670731770297,0.79670731770297,0.0,resolved_ticket,resolved,False
N03,My laptop screen has a dark patch.,2,SYN-0010,2.2297537848450655,0.460298707822351,0.29413912621821053,0.3689109379400738,0.85,0.26,0.5735742972490627,0.5735742972490627,0.0,resolved_ticket,resolved,False
